Class,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8
1,0.633491738,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718,0.798682363
0,0.628037585,0.633491738,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694,0.847067718
0,0.653472297,0.628037585,0.633491738,0.629441624,0.590560536,0.661680527,0.745112863,0.846203694
0,0.619019333,0.653472297,0.628037585,0.633491738,0.629441624,0.590560536,0.661680527,0.745112863
0,0.52926882,0.619019333,0.653472297,0.628037585,0.633491738,0.629441624,0.590560536,0.661680527
0,0.467329085,0.52926882,0.619019333,0.653472297,0.628037585,0.633491738,0.629441624,0.590560536
1,0.458148828,0.467329085,0.52926882,0.619019333,0.653472297,0.628037585,0.633491738,0.629441624
1,0.439788314,0.458148828,0.467329085,0.52926882,0.619019333,0.653472297,0.628037585,0.633491738
0,0.448752565,0.439788314,0.458148828,0.467329085,0.52926882,0.619019333,0.653472297,0.628037585
0,0.519980559,0.448752565,0.439788314,0.458148828,0.467329085,0.52926882,0.619019333,0.653472297
0,0.451290636,0.519980559,0.448752565,0.439788314,0.458148828,0.467329085,0.52926882,0.619019333
0,0.375472513,0.451290636,0.519980559,0.448752565,0.439788314,0.458148828,0.467329085,0.52926882
1,0.293066206,0.375472513,0.451290636,0.519980559,0.448752565,0.439788314,0.458148828,0.467329085
1,0.198293552,0.293066206,0.375472513,0.451290636,0.519980559,0.448752565,0.439788314,0.458148828
1,0.258775246,0.198293552,0.293066206,0.375472513,0.451290636,0.519980559,0.448752565,0.439788314
1,0.294254239,0.258775246,0.198293552,0.293066206,0.375472513,0.451290636,0.519980559,0.448752565
1,0.407225402,0.294254239,0.258775246,0.198293552,0.293066206,0.375472513,0.451290636,0.519980559
0,0.416945674,0.407225402,0.294254239,0.258775246,0.198293552,0.293066206,0.375472513,0.451290636
0,0.4749973,0.416945674,0.407225402,0.294254239,0.258775246,0.198293552,0.293066206,0.375472513
0,0.430338049,0.4749973,0.416945674,0.407225402,0.294254239,0.258775246,0.198293552,0.293066206
0,0.417215682,0.430338049,0.4749973,0.416945674,0.407225402,0.294254239,0.258775246,0.198293552
1,0.387190841,0.417215682,0.430338049,0.4749973,0.416945674,0.407225402,0.294254239,0.258775246
1,0.311048709,0.387190841,0.417215682,0.430338049,0.4749973,0.416945674,0.407225402,0.294254239
1,0.329787234,0.311048709,0.387190841,0.417215682,0.430338049,0.4749973,0.416945674,0.407225402
0,0.36893833,0.329787234,0.311048709,0.387190841,0.417215682,0.430338049,0.4749973,0.416945674
